2025-04-07 20:05:34 status half-configured libmnl0:amd64 1.0.5-3
2025-04-07 20:05:34 status installed libmnl0:amd64 1.0.5-3
2025-04-07 20:05:34 configure libxtables12:amd64 1.8.11-2 <none>
2025-04-07 20:05:34 status unpacked libxtables12:amd64 1.8.11-2
2025-04-07 20:05:34 status half-configured libxtables12:amd64 1.8.11-2
2025-04-07 20:05:34 status installed libxtables12:amd64 1.8.11-2
2025-04-07 20:05:34 configure libpam-cap:amd64 1:2.75-4 <none>
2025-04-07 20:05:34 status unpacked libpam-cap:amd64 1:2.75-4
2025-04-07 20:05:34 status half-configured libpam-cap:amd64 1:2.75-4
2025-04-07 20:05:35 status installed libpam-cap:amd64 1:2.75-4
2025-04-07 20:05:35 configure libbpf1:amd64 1:1.5.0-2 <none>
2025-04-07 20:05:35 status unpacked libbpf1:amd64 1:1.5.0-2
2025-04-07 20:05:35 status half-configured libbpf1:amd64 1:1.5.0-2
2025-04-07 20:05:35 status installed libbpf1:amd64 1:1.5.0-2
2025-04-07 20:05:35 configure libtirpc3t64:amd64 1.3.6+ds-1 <none>
2025-04-07 20:05:35 status unpacked libtirpc3t64:amd64 1.3.6+ds-1
2025-04-07 20:05:35 status half-configured libtirpc3t64:amd64 1.3.6+ds-1
2025-04-07 20:05:35 status installed libtirpc3t64:amd64 1.3.6+ds-1
2025-04-07 20:05:35 configure iproute2:amd64 6.14.0-1 <none>
2025-04-07 20:05:35 status unpacked iproute2:amd64 6.14.0-1
2025-04-07 20:05:35 status half-configured iproute2:amd64 6.14.0-1
2025-04-07 20:05:35 status installed iproute2:amd64 6.14.0-1
2025-04-07 20:05:35 trigproc libc-bin:amd64 2.38-14 <none>
2025-04-07 20:05:35 status half-configured libc-bin:amd64 2.38-14
2025-04-07 20:05:35 status installed libc-bin:amd64 2.38-14
2025-04-07 20:18:11 startup archives unpack
2025-04-07 20:18:11 upgrade libcap2:amd64 1:2.66-5 1:2.75-4
2025-04-07 20:18:11 status triggers-pending libc-bin:amd64 2.38-14
2025-04-07 20:18:11 status half-configured libcap2:amd64 1:2.66-5
2025-04-07 20:18:11 status unpacked libcap2:amd64 1:2.66-5
2025-04-07 20:18:11 status half-installed libcap2:amd64 1:2.66-5
2025-04-07 20:18:11 status unpacked libcap2:amd64 1:2.75-4
